scale	center
tamp_aut	1.07113165306465	11.4636039876226
tamp_spr	1.16986608081315	12.3280050220774
tamp_win	0.889293227075621	9.47819860657649
tamp_jan	0.996370266883562	9.31196535167409
tamp_feb	1.03027090850288	10.5405896101425
tamp_mar	1.24589096994678	12.0804804332221
tamp_apr	1.10938959291634	12.0746800081054
tamp_may	1.19142400519477	12.8281874514338
tamp_jun	1.58958669207575	14.4156487237162
tamp_nov	0.879185842540547	9.58937811139804
tamp_dec	0.805486078036017	8.68702159354936
et0_annual	114.355289174555	1186.63893787896
bal_jan	22.805814148645	16.1505605925375
bal_feb	19.6907665670569	-3.75898191822109
bal_mar	17.7209342117041	-41.7385009224735
bal_apr	23.8204521310101	-46.1845250200869
bal_may	30.2070638668919	-85.0217272915057
bal_jun	32.0435584516823	-138.008974217657
bal_nov	26.0397599160466	24.4309570255564
bal_dec	33.6773031661173	35.542523184819
bal_anual	231.582214366943	-668.458112403528
bal_aut	55.0060279560818	-62.1646442698009
bal_spr	66.0907782800063	-172.944752138052
bal_win	74.7746237378624	47.9341015317547
frost_aut	4.07999884396304	4.3403998800708
frost_spr	7.1303624586461	6.51772674127246
frost_win	17.3454266674098	27.136949076637
frost_jan	6.54671837923003	11.1196969253247
frost_feb	5.8482241916054	8.29391533269811
frost_mar	4.27241230810723	4.49009707208667
frost_apr	2.41801258612772	1.72457661686214
frost_may	0.56306735946919	0.300638400027996
frost_jun	0.0594586689420561	0.0118424683321031
frost_nov	3.4074293845082	3.87357082804526
frost_dec	5.61328201415661	8.63741152208219
et0_jan	5.7574240819946	31.0570334249468
et0_nov	5.31651163710568	38.5172781303747
et0_dec	5.90443330877343	28.494931292178
et0_feb	5.89917923313669	44.302500596687
et0_mar	7.8892056356329	77.7096124051222
et0_apr	12.0073520681936	99.9531184808532
et0_may	16.2628527918672	137.651843512236
et0_jun	19.3722266838628	167.114701797713
pcp_jan	21.2480695754616	47.2075940174843
pcp_feb	17.1599760243957	40.5435186784659
pcp_mar	13.5186700566368	35.9711115538184
pcp_apr	15.7397702207116	53.7685934322983
pcp_may	16.3667143978134	52.6301164128887
pcp_jun	15.2166485194682	29.1057280426595
pcp_nov	24.7928028062565	62.9482352413348
pcp_dec	31.3087205059589	64.0374542634879
pcp_aut	48.2691587244239	162.692206767068
pcp_spr	39.4195367425887	142.161716831264
pcp_win	66.9713602732102	146.540252087721
pfrost	31.9284918591422	86.9969323108445
et0_aut	20.1871114876652	225.434523055803
et0_spr	35.3148342531666	315.314573828854
et0_win	17.0361797363206	103.854465427683
tmax_jan	2.65963608067753	10.7261659849935
tmax_feb	2.51555732985053	12.684056410149
tmax_mar	2.47755998907513	16.3499281513157
tmax_apr	2.57779061686694	18.0888610882546
tmax_may	2.51495725882985	22.2563432294931
tmax_jun	2.64355813034514	27.933192979044
tmax_nov	2.68228201423571	14.6811716449794
tmax_dec	2.67634120458341	11.2136008775056
tmax_aut	2.65963608067753	10.7261659849935
tmax_spr	2.51555732985053	12.684056410149
tmax_win	2.57779061686694	18.0888610882546
tmed_jan	2.45226515545587	6.05466432580308
tmed_feb	2.46586818207329	7.40270325052204
tmed_mar	2.40155464939653	10.3136872818221
tmed_apr	2.44983062599699	12.0609966818966
tmed_may	2.34747582817368	15.8464149147717
tmed_jun	2.44062078352557	20.7181244181163
tmed_nov	2.59682802958252	9.87222908148125
tmed_dec	2.54045063838015	6.8544377471084
tmed_aut	2.45226515545587	6.05466432580308
tmed_spr	2.46586818207329	7.40270325052204
tmed_win	2.44983062599699	12.0609966818966
tmin_jan	2.33206300057463	1.39498516067918
tmin_feb	2.51667132686669	2.12727569674712
tmin_mar	2.48625180909885	4.27183132340659
tmin_apr	2.44864534524821	6.02737448464579
tmin_may	2.33018505615152	9.44629397143179
tmin_jun	2.47534792093654	13.5280525648772
tmin_nov	2.57296272748114	5.07130141750868
tmin_dec	2.46307216035765	2.50901112916059
tmin_aut	2.33206300057463	1.39498516067918
tmin_spr	2.51667132686669	2.12727569674712
tmin_win	2.44864534524821	6.02737448464579
verna_10d	4.56749689594623	18.7228947824507
verna_20d	6.86215193841467	34.7519443853578
verna_30d	7.94825202262199	50.9147196527737
verna_40d	9.40178009532052	67.419585042925
verna_jan	4.89711450831558	38.5931236637172
verna_feb	6.57559261396781	56.4954842667081
verna_mar	8.45595360958695	72.4981704541107
verna_apr	11.0677378715094	87.0612919366182
verna_may	14.0406007943785	98.0387681135491
verna_jun	16.2867279808267	103.1306833011
verna_nov	12.7486113873656	59.2914147732863
verna_dec	3.06617403373827	19.2747040577789
altitude	334.960988337115	615.753731343284
